2811,416,2935,381,2949,429,2825,465
2738,445,2824,416,2839,462,2753,491
2625,479,2749,448,2760,494,2636,525
2486,534,2629,486,2643,529,2501,577
2648,521,2777,495,2787,545,2658,571
2544,563,2654,526,2670,573,2560,610
2324,588,2486,534,2499,570,2337,624
2437,597,2554,562,2567,608,2450,643
2243,617,2329,588,2345,634,2258,663
1769,940,3023,517,3101,748,1847,1171
2352,626,2452,601,2464,650,2364,675
2142,651,2241,618,2256,663,2157,696
2185,684,2323,641,2337,687,2199,730
2006,701,2119,658,2135,700,2021,742
2138,698,2188,698,2188,748,2138,748
1965,712,2016,712,2016,748,1965,748
1968,755,2131,705,2147,756,1984,806
1839,755,1957,711,1974,758,1856,802
1771,763,1850,763,1850,813,1771,813
1877,790,1985,763,1997,812,1889,839
1637,817,1771,777,1787,830,1652,870
2659,931,2972,820,2992,876,2679,988
2761,957,2897,900,2924,965,2788,1022
2443,1004,2662,925,2682,982,2463,1061
2437,1068,2775,943,2800,1009,2462,1135
2214,1085,2445,1008,2463,1062,2232,1139
2278,1122,2450,1060,2474,1128,2302,1189
2050,1139,2213,1074,2239,1138,2075,1204
2253,1144,2296,1144,2296,1188,2253,1188
1923,1190,2065,1142,2083,1196,1941,1244
2096,1189,2242,1136,2266,1202,2120,1255
2073,1216,2116,1216,2116,1252,2073,1252
2860,2189,3512,1942,3555,2056,2903,2303
2361,2383,2859,2181,2905,2296,2407,2497
2864,2318,3074,2239,3110,2334,2900,2413
2651,2405,2924,2307,2943,2361,2670,2459
2829,2376,2908,2376,2908,2426,2829,2426
2793,2397,2829,2397,2829,2440,2793,2440
